id;name;dosage_form;instruction
1;Парацетамол;1;Взрослым и детям старше 12 лет по 1 таблетке каждые 4-6 часов, максимум 4 грамма в сутки.
2;Ибупрофен;2;Взрослым по 1 капсуле 3-4 раза в день, максимальная доза 2400 мг/сутки.
3;Омепразол;2;Одна капсула утром перед едой, 1 раз в сутки. Курс длится от 1 месяца до полугода.
4;Фенибут;1;По 1 таблетке 3 раза в день, максимальный курс приема — месяц.
5;Дюфалак;3;Взрослым — 15-45 мл сиропа однократно вечером, до достижения регулярного эффекта.
6;Актовегин;4;Раствор внутримышечно по 2-4 мл ежедневно в течение двух недель.
7;Лизобакт;1;По 1-2 таблетки рассасывать трижды в день, курс — неделя.
8;Супрастин;1;Одну таблетку 1-3 раза в сутки взрослым и подросткам старше 14 лет.
9;Флуконазол;2;Один раз в сутки, начиная с дозы 150 мг. Лечение кандидоза продолжается до исчезновения симптомов.
10;Гептрал;1;Начальная доза составляет 2 таблетки в день, постепенно увеличиваясь до 4 таблеток.
11;Новопассит;5;Развести 30 капель в небольшом количестве воды, пить 3 раза в день.
12;Валокордин;5;15-20 капель внутрь до еды, разводят водой, принимают 3 раза в день.
13;Мезим форте;1;По 1-2 таблетки во время еды, в зависимости от тяжести пищеварения.
14;Афобазол;1;Обычно принимается по 1 таблетке 3 раза в день в течение 2-4 недель.
15;Креон;2;Капсулы принимаются внутрь во время еды, от 1 до 3 штук за раз.
16;Диклофенак;6;Наносить тонким слоем на поражённое место 2-3 раза в день.
17;Артра;1;Начинают с минимальной дозы 1 таблетка в день, повышая дозу до максимальной в течение месяца.
18;Глицин;1;По 1 таблетке под язык 2-3 раза в день. Максимальный курс приема — месяц.
19;Левомицетин;1;Детям старше 12 лет и взрослым назначают по 1 таблетке 3-4 раза в сутки.
20;Милдронат;7;Раствор вводят внутривенно медленно, один раз в сутки, на протяжении 10-14 дней.
