 Name;Equivalent
 Аквааэробика (умеренный темп) ; 5.0 
 Акваслайдинг (водные горки) ; 5.0 
 Активные домашние животные (игра с собакой) ; 4.0 
 Альпинизм (взбирание в горы) ; 8.0 
 Бадминтон                              ; 4.5                             
 Бег трусцой (8 км/ч)                   ; 7.0                             
 Бокс                                   ; 10.0                            
 Борьба дзюдо (групповые занятия) ; 8.0 
 Быстрая ходьба (более 6 км/ч)          ; 5.0                             
 Быстрое восхождение по лестнице ; 8.0 
 Велоспорт (10–16 км/ч)                 ; 6.0                             
 Верховая езда                          ; 5.5                             
 Водная аэробика                        ; 5.0                             
 Волейбол                               ; 4.0                             
 Высокогорные восхождения ; 12.0 
 Высокоинтенсивные интервальные тренировки (HIIT) ; 15.0
 Гимнастика с утяжелителями             ; 6.0                             
 Гонка на выносливость (железный человек) ; 12.0 
 Горнолыжный спорт                      ; 8.0                             
 Гребля на байдарках или каноэ ; 8.0 
 Домашние дела (уборка дома)            ; 3.5                             
 Дыхательная гимнастика ; 2.0 
 Езда на велосипеде (менее 10 км/ч)     ; 3.0                             
 Забеги на длинные дистанции (марафон) ; 10.0 
 Заниматься танцами (танго, вальс) ; 4.0 
 Занятие йогой (медленные позы)         ; 2.5                             
 Зимние виды спорта (лыжи, сноуборд) ; 8.0 
 Игра в теннис (парный режим)           ; 5.0                             
 Игры в баскетбол (не соревновательные) ; 8.0                             
 Йога (силовая практика) ; 4.5 
 Кардиотренажёры (интервал-тренировка)  ; 12.0                            
 Классическое плавание (энергичное)     ; 10.0                            
 Командные игры (регби, хоккей) ; 8.0 
 Концерт (стояние, хоровое исполнение песен) ; 2.5 
 Конькобежный спорт                     ; 7.0                             
 Кроссфит ; 10.0 
 Купание в море (игры, плескание) ; 3.0 
 Легкая атлетика (пробежки) ; 7.0 
 Лежачий покой                           ; 1.0                             
 Летний туризм (велосипедные прогулки) ; 5.5 
 Марафон                                ; 10.0                            
 Обычная игра в футбол (любительский уровень) ; 7.0 
 Перемещение тяжелой техники ; 6.0 
 Перенос тяжелых предметов (сумки, коробки) ; 6.0 
 Пилатес ; 3.5 
 Плавание (легкий темп)                 ; 6.0                             
 Погрузка мебели ; 5.0 
 Поездка на мотоцикле ; 3.0 
 Покраска стен (ручной труд) ; 4.0 
 Прогулочный шаг (4–5 км/ч)             ; 3.5                             
 Просмотр телевизора                     ; 1.3                             
 Профессиональный бег (12 км/ч)         ; 10.0                            
 Работа в офисе (сидячая)               ; 1.5                             
 Работа с садовыми инструментами (газонокосилка) ; 4.0 
 Растяжка                               ; 2.3                             
 Ремонт квартиры (перестановка мебели) ; 5.0 
 Рыбалка (ловля рыбы удочкой) ; 3.0 
 Садоводство (посадка растений, прополка) ; 4.0 
 Санный спорт (гонки на санях) ; 8.0 
 Сельскохозяйственная работа (ручная обработка земли) ; 6.0 
 Серфинг (катание на волнах) ; 8.0 
 Силовые тренировки (вес менее 5 кг) ; 3.5 
 Скалолазание (скалодром) ; 8.0 
 Скандинавская ходьба                   ; 4.3                             
 Совместная семейная прогулка (быстрая ходьба) ; 4.5 
 Сон                                    ; 0.9                             
 Соревнования по бегу на короткие дистанции ; 13.0 
 Спокойная велосипедная поездка (10–16 км/ч) ; 4.0 
 Спортивная гимнастика                  ; 8.0                             
 Спринт                                 ; 15.0                            
 Стрельба из лука ; 3.5 
 Стретчинг (растяжка мышц) ; 2.3 
 Строительство забора ; 4.5 
 Тай-чи (умеренный темп) ; 2.5 
 Танцы (быстрое движение, зумба) ; 6.0 
 Танцы (социальные танцы)               ; 4.0                             
 Туризм пеший (горные походы) ; 6.0 
 Упражнения на велотренажере (умеренная нагрузка) ; 5.5 
 Ходьба (5–6 км/ч)                      ; 4.0                             
 Хождение пешком (6–7 км/ч) ; 5.0 
 Хождение пешком вверх по лестнице      ; 8.0                             
 Чистка снега лопатой ; 7.0 
 Эллипсоид (умеренный темп)             ; 7.0                             
